PM,Surname,Post,Date,Reason,Type,Link,Cabinet?
Cameron,Mitchell,Commons Chief Whip,19/10/2012,Unable to fulfil duties given 'Plebgate',Personal/other,https://www.bbc.co.uk/news/uk-20012435,Y
Cameron,Strathclyde,Lords Leader,07/01/2013,Personal - life beyond politics,Personal/other,http://webarchive.nationalarchives.gov.uk/20130203145230/http://www.number10.gov.uk/wp-content/uploads/2013/01/Lord-Strathclyde-Resignation.pdf,Y
Cameron,Harper,Home Office,08/02/2014,Cleaner's right to work in the UK,Standards,https://www.bbc.co.uk/news/uk-politics-26102599,
Cameron,Miller,"Culture, Media and Sport",09/04/2014,Expenses,Standards,https://www.telegraph.co.uk/news/newstopics/mps-expenses/conservative-mps-expenses/10754033/Maria-Miller-resignation-letter-in-full.html,Y
Cameron,Warsi,FCO/DCLG,05/08/2014,Gaza policy,Disagreement,https://www.bbc.co.uk/news/uk-politics-28657623,Y
Cameron,Simmonds,FCO,11/8/2014,Personal,Pre-arranged,https://www.theguardian.com/politics/2014/aug/11/africa-minister-mark-simmonds-resigns,
Cameron,Newmark,Cabinet Office,27/09/2014,Personal - photos sent to reporter,Personal/other,https://www.bbc.co.uk/news/uk-politics-29396942,
Cameron,Hunter,Lib Dem Deputy Chief Whip,14/10/2014,Prioritising consituency,Personal/other,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/cheadle-mp-mark-hunter-steps-7931603,
Cameron,Baker,Home Office,04/11/2014,Difficulty being only Lib Dem in Home Office,Disagreement,https://www.independent.co.uk/news/uk/politics/norman-baker-resignation-the-letters-i-am-proud-to-have-served-in-your-team-9837195.html,
Cameron,Willott,Whip,4/11/2014,Prioritising consituency,Personal/other,https://www.bbc.co.uk/news/uk-wales-politics-29898345,
Cameron,Shapps,International Dev,28/11/2015,Alleged misbehaviour by officials while party chair,Accountability,https://www.theguardian.com/politics/2015/nov/28/grants-shapps-resignation-letter-reasons-stepping-down,
Cameron,Duncan Smith,Work and Pensions,19/03/2016,Welfare policy,Disagreement,https://www.bbc.co.uk/news/uk-politics-35848891,Y
May,O'Neill,Treasury,23/09/2016,Work on antimicrobial resistance at an end,Personal/other,https://www.bbc.co.uk/news/uk-politics-37449627,
May,Dunlop,Scotland Office,10/06/2017,Good moment' after electoral success,Pre-announced,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-40233030,
May,Bridges,Exiting the EU,12/06/2017,European policy,Disagreement,https://www.ft.com/content/273fb412-503f-11e7-a1f2-db19572361bb,
May,Price,Trade,3/9/2017,To pursue writing and business interests,Personal/other,https://www.politicshome.com/news/europe/eu-policy-agenda/trade/news/88663/lord-price-resigns-international-trade-minister,
May,Anelay,Exiting the EU,27/10/2017,Worsening of an injury,Personal/other,https://www.gov.uk/government/news/baroness-anelays-resignation-letter-and-prime-ministers-response,
May,Fallon,Defence,01/11/2017,Fallen below high standards' in wake of harrassment allegations,Standards,https://www.independent.co.uk/news/uk/politics/michael-fallon-resigns-letter-read-in-full-theresa-may-tory-defence-secretary-a8032371.html,Y
May,Pincher,Whip,5/11/2017,Referred self to police/party complaints procedure,Temporary,https://www.standard.co.uk/news/politics/tory-whip-chris-pincher-resigns-and-refers-himself-to-police-over-behaviour-allegations-a3676996.html,
May,Patel,International Dev,08/11/2017,Unofficial political meetings while on holiday,Standards,https://www.theguardian.com/politics/2017/nov/08/priti-patels-resignation-letter-and-theresa-mays-response-in-full,Y
May,Green,Cabinet Office,20/12/2017,Breach of ministerial code,Standards,https://www.gov.uk/government/publications/damian-greens-resignation-letter-and-the-prime-ministers-response,Y
May,Rudd,Home Office,29/04/2018,Inadvertently misleading select committee (Windrush),Standards,https://www.bbc.co.uk/news/uk-politics-43944710,Y
May,Lee,Justice,12/06/2018,European policy,Disagreement,http://www.phillip-lee.com/uncategorized/ministerial-resignation-statement/,
May,Hands,International Trade,21/06/2018,Heathrow policy,Disagreement,https://www.gov.uk/government/publications/greg-hands-resignation-letter-and-the-prime-ministers-response,
May,Davis,Exiting the EU,08/07/2018,European policy,Disagreement,https://www.bbc.co.uk/news/uk-politics-44761416,Y
May,B Johnson,Foreign Office,09/07/2018,European policy,Disagreement,https://www.bbc.co.uk/news/uk-politics-44772804,Y
May,Baker,Exiting the EU,09/07/2018,European policy,Disagreement,https://brexitcentral.com/full-text-steve-bakers-resignation-letter-theresa-mays-reply/,
May,Griffiths,"Business, Energy, Ind Strat",13/07/2018,Personal - texts to constituents,Standards,https://www.bbc.co.uk/news/uk-44833946,
May,Bebb,Defence,16/07/2018,European policy,Disagreement,https://www.bbc.co.uk/news/uk-wales-politics-44854892,
May,Crouch,"Digital, Culture, Media and Sport",1/11/2018,Gambling policy (FOBTs),Disagreement,https://twitter.com/tracey_crouch/status/1058053597399789568,
May,J Johnson,Transport,9/11/2018,European policy,Disagreement,https://twitter.com/JoJohnsonUK/status/1060921616937443328,
May,Vara,Northern Ireland Office,15/11/2018,European policy,Disagreement,https://twitter.com/ShaileshVara/status/1062971538977234944,
May,Raab,Exiting the EU,15/11/2018,European policy,Disagreement,https://twitter.com/DominicRaab/status/1062992019449098241,Y
May,McVey,Work and Pensions,15/11/2018,European policy,Disagreement,https://twitter.com/EstherMcVey1/status/1063008263225126912,Y
May,Braverman,Exiting the EU,15/11/2018,European policy,Disagreement,https://twitter.com/SuellaBraverman/status/1063014302142083073,
May,Gyimah,"Education/Business, Energy, Ind Strat",30/11/2018,European policy,Disagreement,https://twitter.com/SamGyimah/status/1068639039023210496,
May,O'Shaughnessy,Health and Social Care; Lords whip,20/12/2018,Family reasons (announced 20 December 2018 for late December),Personal/other,https://twitter.com/jamesosh/status/1075862020933763074,
May,Johnson,Whip,14/1/2019,European policy,Disagreement,https://twitter.com/alexwickham/status/1084800663895318533,
May,Eustice,"Environment, Food and Rural Affairs",28/2/2019,European policy,Disagreement,https://twitter.com/nickeardleybbc/status/1101130111179517954,
May,Newton,Work and Pensions,13/3/2019,European policy,Disagreement,https://twitter.com/SNewtonUK/status/1105967832108621824,
May,Harrington,"Business, Energy, Ind Strat",25/3/2019,European policy,Disagreement,https://twitter.com/Richard4Watford/status/1110302682835759106,
May,Brine,Health and Social Care,25/3/2019,European policy,Disagreement,https://www.conservativehome.com/thetorydiary/2019/03/brine-burt-and-harrington-resign-to-vote-for-the-letwin-amendment.html,
May,Burt,Foreign Office/International Dev,25/3/2019,European policy,Disagreement,https://www.alistair-burt.co.uk/news/press-statement-260319,
May,Adams,Wales Office and Whip,3/4/2019,European policy,Disagreement,https://twitter.com/nadams/status/1113359638769164289,
May,Heaton-Harris,Exiting the EU,3/4/2019,European policy,Disagreement,https://twitter.com/chhcalling/status/1113456229232381953,
May,Bates,International Dev,23/4/2019,"Personal - natural break in flow of legislation, focus on unifying the country",Personal/other,https://twitter.com/BatesLord/status/1120750271515246596,
May,Williamson,Defence,1/5/2019,Sacked following leak inquiry,Sacked,https://www.bbc.co.uk/news/uk-48126671,Y
May,Manzoor,Lords whip,7/5/2019,Personal circumstances,Personal/other,https://www.gov.uk/government/publications/baroness-manzoors-resignation-letter-and-the-prime-ministers-response--2,
May,Fairhead,International Trade,7/5/2019,"Agreed term at an end, returning to private sector",Personal/other,https://www.gov.uk/government/publications/baroness-fairheads-resignation-letter-and-the-prime-ministers-response,
May,Leadsom,Leader of the Commons,22/5/2019,European policy,Disagreement,https://twitter.com/andrealeadsom/status/1131267480742236160,Y
May,James,"Digital, Culture, Media and Sport",18/7/2019,European policy,Disagreement,https://twitter.com/margot_james_mp/status/1152212402626334720,
May,Duncan,Foreign Office,22/7/2019,Political disagreement,Pre-announced,https://twitter.com/AlanDuncanMP/status/1153238110475554821,
May,Milton,Education,23/7/2019,European policy,Pre-announced,https://twitter.com/AnneMilton/status/1153609155489468417,
